Word,Sum,Number,Weight
бесчувственность,-2.0,2.0,-1.0
бесчувственный,-3.33333333333333,3.0,-1.11111111111111
бешенство,-5.0,5.0,-1.0
бешеный,-1.0,2.0,-0.5
бзик,-1,1,-1.0
биотоксин,-1,1,-1.0
бирюк,-1,1,-1.0
бирюлька,0,1,0.0
бирючий,-1,1,-1.0
битком,-1,1,-1.0
битый,-1,1,-1.0
бить баклуши,-1,1,-1.0
бить по нервам,-1,1,-1.0
бить по основам,-1,1,-1.0
бич общества,-1,1,-1.0
бич,-2.0,3.0,-0.6666666666666666
бичиха,-1,1,-1.0
блабла,-1,1,-1.0
бла-бла-бла,-1,1,-1.0
блаблабла,-1,1,-1.0
благим матом,-1,1,-1.0
благоверный,1.0,2.0,0.5
благоволение,1,1,1.0
благоволить,1,1,1.0
благовоспитанность,1,1,1.0
благовоспитанный,2.0,2.0,1.0
благоговейность,1,1,1.0
благоговейный,2.25,2.0,1.125
благоговение,4.0,4.0,1.0
благоговеть,1,1,1.0
благодарность,2.33333333333333,2.0,1.166666666666665
благодарный,2.0,2.0,1.0
благодарственный,2.33333333333333,2.0,1.166666666666665
благодатность,1,1,1.0
благодатный,1,1,1.0
благоденствие,1,1,1.0
благоденствовать,1,1,1.0
благодетельный,2.0,2.0,1.0
благожелательность,2.0,2.0,1.0
благожелательный,3.833333333333333,4.0,0.9583333333333333
благозвучие,1,1,1.0
благозвучность,1,1,1.0
благозвучный,2.0,2.0,1.0
благой,2.0,2.0,1.0
благополучие,2.0,2.0,1.0
благополучность,1,1,1.0
благополучный,2.66666666666667,2.0,1.333333333333335
благопристойность,1,1,1.0
благопристойный,1,1,1.0
благоприятность,1,1,1.0
благоприятный,5.66666666666667,5.0,1.133333333333334
благоприятствование,1,1,1.0
благоприятствовать,1,1,1.0
благоразумие,1,1,1.0
благоразумность,1,1,1.0
благоразумный,2.0,2.0,1.0
благорасположение,1,1,1.0
благородность,1,1,1.0
благородный,3.33333333333333,3.0,1.11111111111111
благородство,1,1,1.0
благосклонность,3.0,3.0,1.0
благосклонный,2.888888888888889,3.0,0.9629629629629629
благословенный,1,1,1.0
благосостояние,1.333333333333333,2.0,0.6666666666666665
благотворитель,2.0,2.0,1.0
благотворительница,1,1,1.0
благотворительность,3.0,3.0,1.0
благотворительный,2.0,2.0,1.0
благотворительский,1,1,1.0
благотворность,1,1,1.0
благотворный,5.66666666666667,5.0,1.133333333333334
благоустроенность,1,1,1.0
благоустроенный,1,1,1.0
благоустройство,2.666666666666667,3.0,0.888888888888889
благоухание,1,1,1.0
благочестивость,1,1,1.0
благочестивый,1,1,1.0
благочестие,1,1,1.0
блаженство,2.33333333333333,2.0,1.166666666666665
блаженствовать,1,1,1.0
блажь,-1,1,-1.0
блатарка,-1,1,-1.0
блатарь,-1,1,-1.0
блатной,-2.66666666666667,2.0,-1.333333333333335
блевание,-1,1,-1.0
блевануть,-1,1,-1.0
блевать,-2.0,2.0,-1.0
блевота,-1,1,-1.0
блевотина,-3.0,2.0,-1.5
бледноватый,-1,1,-1.0
бледность,-2.0,3.0,-0.6666666666666666
бледный,-2.0,3.0,-0.6666666666666666
блеклость,-1,1,-1.0
блеклый,-1.666666666666667,2.0,-0.8333333333333335
блекнуть,-1.833333333333333,2.0,-0.9166666666666665
блеск,2.5,2.0,1.25
блестящий,1,1,1.0
блеф,-1,1,-1.0
блефовать,-1,1,-1.0
блефовый,-1,1,-1.0
близорукий,-2.0,2.0,-1.0
близорукость,-2.0,2.0,-1.0
блистательность,1,1,1.0
блистательный,2.55555555555556,2.0,1.27777777777778
блокада,-2.0,2.0,-1.0
блокадный,-2.0,2.0,-1.0
блоха,-1,1,-1.0
блуд,-1,1,-1.0
блудить,-2.0,2.0,-1.0
блудник,-1,1,-1.0
блудница,-1,1,-1.0
блэкаут,-1,1,-1.0
блюдолиз,-1,1,-1.0
богатей,-1,1,-1.0
богатенький,-1,1,-1.0
богатеть,1,1,1.0
богатство,1.5,2.0,0.75
богатый,1.4,2.0,0.7
богач,-1,1,-1.0
богачка,-1,1,-1.0
богобоязненность,1,1,1.0
богобоязненный,0.33333333333333304,2.0,0.16666666666666652
богомольный,1,1,1.0
боготворение,1,1,1.0
боготворить,1,1,1.0
богохульничанье,-1,1,-1.0
богохульничать,-1,1,-1.0
богохульный,-1,1,-1.0
богохульственный,-1,1,-1.0
богохульство,-1,1,-1.0
богохульствовать,-1,1,-1.0
бодрить,1,1,1.0
бодрость,1,1,1.0
бодрый,3.0,3.0,1.0
